municipality,D,R,Oth,total_voters,D_pct,R_pct,Oth_pct,DvR,DvR_pct,avg_age_years,avg_tenure_years,avg_age_years_D,avg_age_years_R,avg_age_years_Oth,avg_tenure_years_D,avg_tenure_years_R,avg_tenure_years_Oth
Bedminster township,1765,3099,1004,5868,30.08,52.81,17.11,-1334,-22.73,52.0,21.1,51.4,53.7,47.9,20.6,22.8,16.6
Bensalem township,18033,16717,7209,41959,42.98,39.84,17.18,1316,3.14,51.9,19.0,51.8,55.0,45.0,19.0,21.5,13.0
Bridgeton township,323,457,216,996,32.43,45.88,21.69,-134,-13.45,56.7,19.9,58.2,57.9,51.8,20.5,21.9,14.8
Bristol borough,4220,1905,1104,7229,58.38,26.35,15.27,2315,32.02,50.6,21.1,52.7,50.4,42.9,23.4,20.3,13.7
Bristol township,17845,12514,6734,37093,48.11,33.74,18.15,5331,14.37,50.5,19.3,51.8,52.4,43.6,20.5,20.5,13.7
Buckingham township,6244,7497,3473,17214,36.27,43.55,20.18,-1253,-7.28,52.8,19.8,52.4,55.3,48.4,19.7,22.0,15.2
Chalfont borough,1455,1358,602,3415,42.61,39.77,17.63,97,2.84,49.9,19.8,49.4,52.7,44.9,19.6,22.0,15.5
Doylestown borough,3581,2137,1371,7089,50.51,30.15,19.34,1444,20.37,54.7,21.6,54.4,57.9,50.5,21.9,24.3,17.0
Doylestown township,5719,5763,2655,14137,40.45,40.77,18.78,-44,-0.31,54.8,21.7,54.7,57.4,49.6,21.6,24.3,16.4
Dublin borough,545,731,355,1631,33.42,44.82,21.77,-186,-11.4,48.2,18.3,48.4,50.0,44.3,18.5,20.1,14.3
Durham township,274,506,173,953,28.75,53.1,18.15,-232,-24.34,55.4,21.4,55.0,57.5,49.8,21.3,22.8,17.8
East Rockhill township,1334,2359,823,4516,29.54,52.24,18.22,-1025,-22.7,51.4,20.8,51.4,53.3,45.9,21.0,22.3,16.6
Falls township,11077,8030,4417,23524,47.09,34.14,18.78,3047,12.95,50.6,20.0,51.7,52.2,44.9,21.2,21.3,14.7
Haycock township,519,977,298,1794,28.93,54.46,16.61,-458,-25.53,56.4,24.1,57.1,57.6,51.1,24.8,25.3,18.7
Hilltown township,3908,6527,2279,12714,30.74,51.34,17.93,-2619,-20.6,52.4,20.7,52.3,54.2,47.2,20.5,22.6,15.9
Hulmeville borough,298,347,143,788,37.82,44.04,18.15,-49,-6.22,49.8,21.2,50.4,51.3,44.9,21.5,22.3,17.8
Ivyland borough,255,353,94,702,36.32,50.28,13.39,-98,-13.96,49.5,20.2,49.0,51.3,44.2,20.0,21.7,14.9
Langhorne Manor borough,257,403,116,776,33.12,51.93,14.95,-146,-18.81,52.9,22.9,54.3,54.3,45.1,23.6,24.7,15.5
Langhorne borough,536,419,183,1138,47.1,36.82,16.08,117,10.28,52.3,22.4,54.0,52.6,46.7,23.4,23.3,17.5
Lower Makefield township,11999,9952,5976,27927,42.97,35.64,21.4,2047,7.33,52.6,20.0,52.0,55.2,49.4,20.0,22.7,15.4
Lower Southampton township,5026,6669,2407,14102,35.64,47.29,17.07,-1643,-11.65,52.2,20.2,52.8,54.1,45.9,21.3,21.6,14.1
Middletown township,14651,13802,5883,34336,42.67,40.2,17.13,849,2.47,53.3,21.6,54.0,54.7,48.1,22.4,23.3,15.8
Milford township,2322,4029,1327,7678,30.24,52.47,17.28,-1707,-22.23,52.9,20.9,53.4,54.2,47.9,21.4,22.3,16.1
Morrisville borough,3247,1705,1343,6295,51.58,27.08,21.33,1542,24.5,50.2,17.8,50.7,53.1,45.2,18.3,20.4,13.2
New Britain borough,799,756,374,1929,41.42,39.19,19.39,43,2.23,52.4,21.4,51.6,55.5,47.9,21.8,23.8,15.7
New Britain township,3778,4119,1753,9650,39.15,42.68,18.17,-341,-3.53,52.1,20.8,51.7,54.6,47.0,20.7,23.0,15.8
New Hope borough,1204,607,541,2352,51.19,25.81,23.0,597,25.38,56.3,16.8,56.9,59.0,51.6,17.8,18.9,12.2
Newtown borough,914,778,389,2081,43.92,37.39,18.69,136,6.54,53.4,21.5,53.5,55.2,49.6,21.7,23.5,17.1
Newtown township,6471,6089,3191,15751,41.08,38.66,20.26,382,2.43,53.3,20.2,52.9,56.1,49.0,20.6,22.5,15.1
Nockamixon township,730,1556,483,2769,26.36,56.19,17.44,-826,-29.83,54.9,22.0,56.2,56.0,49.4,22.8,23.6,16.0
Northampton township,10827,15257,4957,31041,34.88,49.15,15.97,-4430,-14.27,52.9,21.4,52.5,54.8,47.6,21.9,22.8,15.8
Penndel borough,730,624,300,1654,44.14,37.73,18.14,106,6.41,49.2,19.4,50.6,50.5,43.5,20.7,20.5,13.7
Perkasie borough,2542,3146,1271,6959,36.53,45.21,18.26,-604,-8.68,50.2,20.1,50.5,52.0,45.4,20.7,21.6,15.6
Plumstead township,3852,4965,2185,11002,35.01,45.13,19.86,-1113,-10.12,50.2,19.3,49.9,52.3,46.1,19.3,21.2,15.1
Quakertown borough,2293,2630,1271,6194,37.02,42.46,20.52,-337,-5.44,49.9,19.1,50.1,52.1,44.9,19.5,21.1,14.5
Richland township,3272,4916,1863,10051,32.55,48.91,18.54,-1644,-16.36,51.3,19.1,51.1,53.1,46.9,19.2,20.6,15.1
Richlandtown borough,269,404,169,842,31.95,47.98,20.07,-135,-16.03,50.5,20.8,50.3,52.3,46.6,21.9,22.0,16.2
Riegelsville borough,294,277,133,704,41.76,39.35,18.89,17,2.41,54.2,19.7,55.8,55.6,47.8,20.7,21.2,14.3
Sellersville borough,1248,1360,634,3242,38.49,41.95,19.56,-112,-3.45,50.2,19.8,51.2,51.1,46.3,21.2,20.7,15.3
Silverdale borough,195,329,100,624,31.25,52.72,16.03,-134,-21.47,52.8,22.7,52.0,54.5,48.6,21.3,24.8,18.5
Solebury township,3581,2679,1652,7912,45.26,33.86,20.88,902,11.4,55.2,19.1,55.0,57.5,52.1,19.1,21.7,14.6
Springfield township,1294,2106,763,4163,31.08,50.59,18.33,-812,-19.51,55.5,22.2,56.7,56.9,49.7,22.9,23.6,17.2
Telford borough,566,806,287,1659,34.12,48.58,17.3,-240,-14.47,58.3,21.6,59.0,60.4,51.1,22.5,23.0,16.1
Tinicum township,1228,1529,635,3392,36.2,45.08,18.72,-301,-8.87,57.0,21.9,58.2,57.4,53.5,22.0,23.6,17.3
Trumbauersville borough,199,323,121,643,30.95,50.23,18.82,-124,-19.28,50.9,19.9,52.6,52.8,43.4,22.1,20.5,14.9
Tullytown borough,839,510,264,1613,52.01,31.62,16.37,329,20.4,51.3,21.1,54.7,49.8,43.3,24.7,19.4,13.0
Upper Makefield township,2768,3451,1505,7724,35.84,44.68,19.48,-683,-8.84,54.3,20.0,54.1,56.1,50.7,19.6,22.2,15.6
Upper Southampton township,4063,5957,1761,11781,34.49,50.56,14.95,-1894,-16.08,54.9,22.1,55.7,56.6,47.2,22.9,23.5,15.7
Warminster township,9864,11014,3760,24638,40.04,44.7,15.26,-1150,-4.67,56.0,21.9,57.1,57.7,48.2,22.8,23.4,15.2
Warrington township,7144,8314,3406,18864,37.87,44.07,18.06,-1170,-6.2,51.8,19.8,51.3,54.3,46.6,19.8,22.1,14.5
Warwick township,4129,5332,1980,11441,36.09,46.6,17.31,-1203,-10.51,53.3,20.7,52.7,55.6,48.5,20.7,22.7,15.6
West Rockhill township,1168,2200,632,4000,29.2,55.0,15.8,-1032,-25.8,56.8,23.2,58.9,58.0,48.9,24.7,24.0,17.5
Wrightstown township,874,1332,533,2739,31.91,48.63,19.46,-458,-16.72,51.4,20.7,50.9,53.6,46.9,20.6,22.6,15.9
Yardley borough,1075,714,498,2287,47.0,31.22,21.78,361,15.78,53.2,20.5,53.7,55.4,49.2,21.1,23.0,15.7
