municipality,D_to_Oth,D_to_R,Oth_to_D,Oth_to_R,R_to_D,R_to_Oth,total_switch,D_gain,D_loss,R_gain,R_loss,Oth_gain,Oth_loss,D,R,Oth,D_net,R_net,Oth_net,D_flip_pct,R_flip_pct,Oth_flip_pct
Bedminster township,38,29,42,35,22,49,215,64,67,64,71,87,77,1765,3099,1004,-3,-7,10,3.8,2.29,7.67
Bensalem township,173,243,139,101,108,85,849,247,416,344,193,258,240,18033,16717,7209,-169,151,18,2.31,1.15,3.33
Bridgeton township,5,3,4,1,2,2,17,6,8,4,4,7,5,323,457,216,-2,0,2,2.48,0.88,2.31
Bristol borough,30,40,38,21,27,11,167,65,70,61,38,41,59,4220,1905,1104,-5,23,-18,1.66,1.99,5.34
Bristol township,136,213,118,112,68,62,709,186,349,325,130,198,230,17845,12514,6734,-163,195,-32,1.96,1.04,3.42
Buckingham township,120,76,114,97,70,102,579,184,196,173,172,222,211,6244,7497,3473,-12,1,11,3.14,2.29,6.08
Chalfont borough,28,18,27,18,17,20,128,44,46,36,37,48,45,1455,1358,602,-2,-1,3,3.16,2.72,7.48
Doylestown borough,75,13,53,31,34,43,249,87,88,44,77,118,84,3581,2137,1371,-1,-33,34,2.46,3.6,6.13
Doylestown township,98,50,96,69,75,91,479,171,148,119,166,189,165,5719,5763,2655,23,-47,24,2.59,2.88,6.21
Dublin borough,12,11,10,8,11,13,65,21,23,19,24,25,18,545,731,355,-2,-5,7,4.22,3.28,5.07
Durham township,7,5,10,5,2,4,33,12,12,10,6,11,15,274,506,173,0,4,-4,4.38,1.19,8.67
East Rockhill township,39,22,31,28,23,31,174,54,61,50,54,70,59,1334,2359,823,-7,-4,11,4.57,2.29,7.17
Falls township,89,137,92,75,66,38,497,158,226,212,104,127,167,11077,8030,4417,-68,108,-40,2.04,1.3,3.78
Haycock township,6,16,9,14,9,6,60,18,22,30,15,12,23,519,977,298,-4,15,-11,4.24,1.54,7.72
Hilltown township,69,48,62,92,58,67,396,120,117,140,125,136,154,3908,6527,2279,3,15,-18,2.99,1.92,6.76
Hulmeville borough,6,2,6,8,1,3,26,7,8,10,4,9,14,298,347,143,-1,6,-5,2.68,1.15,9.79
Ivyland borough,3,5,2,1,2,2,15,4,8,6,4,5,3,255,353,94,-4,2,2,3.14,1.13,3.19
Langhorne Manor borough,3,2,1,3,4,1,14,5,5,5,5,4,4,257,403,116,0,0,0,1.95,1.24,3.45
Langhorne borough,6,1,3,2,5,0,17,8,7,3,5,6,5,536,419,183,1,-2,1,1.31,1.19,2.73
Lower Makefield township,146,73,116,57,82,72,546,198,219,130,154,218,173,11999,9952,5976,-21,-24,45,1.83,1.55,2.89
Lower Southampton township,47,83,45,43,44,47,309,89,130,126,91,94,88,5026,6669,2407,-41,35,6,2.59,1.36,3.66
Middletown township,131,161,140,86,98,83,699,238,292,247,181,214,226,14651,13802,5883,-54,66,-12,1.99,1.31,3.84
Milford township,38,34,28,32,21,36,189,49,72,66,57,74,60,2322,4029,1327,-23,9,14,3.1,1.41,4.52
Morrisville borough,24,26,20,13,20,10,113,40,50,39,30,34,33,3247,1705,1343,-10,9,1,1.54,1.76,2.46
New Britain borough,17,12,9,11,8,9,66,17,29,23,17,26,20,799,756,374,-12,6,6,3.63,2.25,5.35
New Britain township,58,56,71,56,52,57,350,123,114,112,109,115,127,3778,4119,1753,9,3,-12,3.02,2.65,7.24
New Hope borough,16,6,30,13,8,5,78,38,22,19,13,21,43,1204,607,541,16,6,-22,1.83,2.14,7.95
Newtown borough,14,8,7,5,9,9,52,16,22,13,18,23,12,914,778,389,-6,-5,11,2.41,2.31,3.08
Newtown township,62,39,63,55,62,46,327,125,101,94,108,108,118,6471,6089,3191,24,-14,-10,1.56,1.77,3.7
Nockamixon township,10,12,14,12,7,11,66,21,22,24,18,21,26,730,1556,483,-1,6,-5,3.01,1.16,5.38
Northampton township,110,205,121,125,122,120,803,243,315,330,242,230,246,10827,15257,4957,-72,88,-16,2.91,1.59,4.96
Penndel borough,10,7,7,2,3,4,33,10,17,9,7,14,9,730,624,300,-7,2,5,2.33,1.12,3.0
Perkasie borough,38,35,54,56,34,38,255,88,73,91,72,76,110,2542,3146,1271,15,19,-34,2.87,2.29,8.65
Plumstead township,92,59,70,62,55,76,414,125,151,121,131,168,132,3852,4965,2185,-26,-10,36,3.92,2.64,6.04
Quakertown borough,32,40,42,38,23,33,208,65,72,78,56,65,80,2293,2630,1271,-7,22,-15,3.14,2.13,6.29
Richland township,49,73,71,75,32,43,343,103,122,148,75,92,146,3272,4916,1863,-19,73,-54,3.73,1.53,7.84
Richlandtown borough,4,2,10,5,3,9,33,13,6,7,12,13,15,269,404,169,7,-5,-2,2.23,2.97,8.88
Riegelsville borough,2,2,5,5,1,5,20,6,4,7,6,7,10,294,277,133,2,1,-3,1.36,2.17,7.52
Sellersville borough,18,20,15,14,15,21,103,30,38,34,36,39,29,1248,1360,634,-8,-2,10,3.04,2.65,4.57
Silverdale borough,1,4,3,6,3,3,20,6,5,10,6,4,9,195,329,100,1,4,-5,2.56,1.82,9.0
Solebury township,55,32,68,31,24,53,263,92,87,63,77,108,99,3581,2679,1652,5,-14,9,2.43,2.87,5.99
Springfield township,18,12,16,22,14,24,106,30,30,34,38,42,38,1294,2106,763,0,-4,4,2.32,1.8,4.98
Telford borough,3,8,1,6,6,3,27,7,11,14,9,6,7,566,806,287,-4,5,-1,1.94,1.12,2.44
Tinicum township,27,20,20,24,15,20,126,35,47,44,35,47,44,1228,1529,635,-12,9,3,3.83,2.29,6.93
Trumbauersville borough,2,4,3,8,2,3,22,5,6,12,5,5,11,199,323,121,-1,7,-6,3.02,1.55,9.09
Tullytown borough,8,8,5,9,2,0,32,7,16,17,2,8,14,839,510,264,-9,15,-6,1.91,0.39,5.3
Upper Makefield township,27,18,39,32,30,35,181,69,45,50,65,62,71,2768,3451,1505,24,-15,-9,1.63,1.88,4.72
Upper Southampton township,44,80,36,45,33,54,292,69,124,125,87,98,81,4063,5957,1761,-55,38,17,3.05,1.46,4.6
Warminster township,109,174,99,113,129,97,721,228,283,287,226,206,212,9864,11014,3760,-55,61,-6,2.87,2.05,5.64
Warrington township,113,113,110,92,99,100,627,209,226,205,199,213,202,7144,8314,3406,-17,6,11,3.16,2.39,5.93
Warwick township,70,60,63,58,55,56,362,118,130,118,111,126,121,4129,5332,1980,-12,7,5,3.15,2.08,6.11
West Rockhill township,16,21,10,20,11,12,90,21,37,41,23,28,30,1168,2200,632,-16,18,-2,3.17,1.05,4.75
Wrightstown township,6,15,6,15,9,20,71,15,21,30,29,26,21,874,1332,533,-6,1,5,2.4,2.18,3.94
Yardley borough,8,6,13,6,3,5,41,16,14,12,8,13,19,1075,714,498,2,4,-6,1.3,1.12,3.82
