checked_at,status,old_total_votes,new_total_votes,delta_total_votes,changed_rows,changed_precincts,changed_contests,downloaded_file
2026-05-19 08:35:01 PM,no_change,814093,814093,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (1).csv
2026-05-19 08:35:40 PM,no_change,814093,814093,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (2).csv
2026-05-19 08:45:55 PM,no_change,814093,814093,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (3).csv
2026-05-19 08:51:16 PM,no_change,814093,814093,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (4).csv
2026-05-19 08:56:36 PM,no_change,814093,814093,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (5).csv
2026-05-19 09:01:57 PM,no_change,814093,814093,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (6).csv
2026-05-19 09:07:18 PM,no_change,814093,814093,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (7).csv
2026-05-19 09:15:49 PM,no_change,814093,814093,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (8).csv
2026-05-19 09:21:08 PM,no_change,814093,814093,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (9).csv
2026-05-19 09:26:28 PM,no_change,814093,814093,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (10).csv
2026-05-19 09:31:48 PM,changed,814093,871564,57471,1125,16,71,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (11).csv
2026-05-19 09:37:14 PM,no_change,871564,871564,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (12).csv
2026-05-19 09:42:35 PM,no_change,871564,871564,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (13).csv
2026-05-19 09:47:55 PM,no_change,871564,871564,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (14).csv
2026-05-19 09:53:14 PM,changed,871564,998522,126958,2417,34,127,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (15).csv
2026-05-19 09:58:41 PM,no_change,998522,998522,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (16).csv
2026-05-19 10:04:00 PM,changed,998522,1087396,88874,1791,25,101,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (17).csv
2026-05-19 10:09:26 PM,no_change,1087396,1087396,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (18).csv
2026-05-19 10:14:46 PM,changed,1087396,1175347,87951,1598,22,91,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (19).csv
2026-05-19 10:20:12 PM,no_change,1175347,1175347,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (20).csv
2026-05-19 10:25:32 PM,changed,1175347,1275327,99980,1550,21,91,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (21).csv
2026-05-19 10:30:58 PM,no_change,1275327,1275327,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (22).csv
2026-05-19 10:36:18 PM,no_change,1275327,1275327,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (23).csv
2026-05-19 10:41:36 PM,changed,1275327,1353613,78286,1378,19,83,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (24).csv
2026-05-19 10:47:02 PM,changed,1353613,1410033,56420,1438,20,86,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (25).csv
2026-05-19 10:52:28 PM,no_change,1410033,1410033,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (26).csv
2026-05-19 10:57:48 PM,no_change,1410033,1410033,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (27).csv
2026-05-19 11:03:07 PM,changed,1410033,1482739,72706,2194,31,114,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (28).csv
2026-05-19 11:08:34 PM,changed,1482739,1569102,86363,2510,36,123,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (29).csv
2026-05-19 11:13:59 PM,no_change,1569102,1569102,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (30).csv
2026-05-19 11:19:18 PM,changed,1569102,1662348,93246,1821,25,109,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (31).csv
2026-05-19 11:24:44 PM,changed,1662348,1751382,89034,2125,30,113,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (32).csv
2026-05-19 11:30:09 PM,changed,1751382,1792426,41044,845,12,63,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (33).csv
2026-05-19 11:35:35 PM,no_change,1792426,1792426,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (34).csv
2026-05-19 11:40:55 PM,no_change,1792426,1792426,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (35).csv
2026-05-19 11:46:14 PM,no_change,1792426,1792426,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (36).csv
2026-05-19 11:51:32 PM,no_change,1792426,1792426,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (37).csv
2026-05-19 11:56:52 PM,no_change,1792426,1792426,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (38).csv
2026-05-20 12:02:11 AM,no_change,1792426,1792426,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (39).csv
2026-05-20 12:07:31 AM,no_change,1792426,1792426,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (40).csv
2026-05-20 12:12:50 AM,no_change,1792426,1792426,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (41).csv
2026-05-20 12:18:09 AM,no_change,1792426,1792426,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (42).csv
2026-05-20 12:23:29 AM,no_change,1792426,1792426,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (43).csv
2026-05-20 12:28:49 AM,no_change,1792426,1792426,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (44).csv
2026-05-20 12:34:10 AM,changed,1792426,1882559,90133,7297,226,395,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (45).csv
2026-05-20 12:39:36 AM,no_change,1882559,1882559,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (46).csv
2026-05-20 12:44:56 AM,no_change,1882559,1882559,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (47).csv
2026-05-20 12:50:16 AM,no_change,1882559,1882559,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (48).csv
2026-05-20 12:55:36 AM,changed,1882559,1931815,49256,8559,208,414,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (49).csv
2026-05-20 01:01:02 AM,no_change,1931815,1931815,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (50).csv
2026-05-20 01:06:21 AM,no_change,1931815,1931815,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (51).csv
2026-05-20 01:11:39 AM,no_change,1931815,1931815,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (52).csv
2026-05-20 01:16:58 AM,no_change,1931815,1931815,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (53).csv
2026-05-20 01:22:19 AM,changed,1931815,1953385,21570,3193,68,180,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (54).csv
2026-05-20 01:27:46 AM,no_change,1953385,1953385,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (55).csv
2026-05-20 01:33:05 AM,no_change,1953385,1953385,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (56).csv
2026-05-20 01:38:24 AM,no_change,1953385,1953385,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (57).csv
2026-05-20 01:43:43 AM,no_change,1953385,1953385,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (58).csv
2026-05-20 01:49:02 AM,no_change,1953385,1953385,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (59).csv
2026-05-20 01:54:22 AM,no_change,1953385,1953385,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (60).csv
2026-05-20 01:59:41 AM,no_change,1953385,1953385,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (61).csv
2026-05-20 02:05:01 AM,no_change,1953385,1953385,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (62).csv
2026-05-20 02:10:20 AM,no_change,1953385,1953385,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (63).csv
2026-05-20 02:15:40 AM,no_change,1953385,1953385,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (64).csv
2026-05-20 02:20:59 AM,no_change,1953385,1953385,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (65).csv
2026-05-20 02:26:18 AM,no_change,1953385,1953385,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (66).csv
2026-05-20 02:31:37 AM,no_change,1953385,1953385,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (67).csv
2026-05-20 02:36:57 AM,no_change,1953385,1953385,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (68).csv
2026-05-20 02:42:16 AM,no_change,1953385,1953385,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (69).csv
2026-05-20 02:47:35 AM,no_change,1953385,1953385,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (70).csv
2026-05-20 02:52:54 AM,no_change,1953385,1953385,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (71).csv
2026-05-20 02:58:14 AM,no_change,1953385,1953385,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (72).csv
2026-05-20 03:03:33 AM,no_change,1953385,1953385,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (73).csv
2026-05-20 03:08:52 AM,no_change,1953385,1953385,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (74).csv
2026-05-20 03:14:14 AM,no_change,1953385,1953385,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (75).csv
2026-05-20 03:19:33 AM,no_change,1953385,1953385,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (76).csv
2026-05-20 03:24:53 AM,no_change,1953385,1953385,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (77).csv
2026-05-20 03:30:12 AM,no_change,1953385,1953385,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (78).csv
2026-05-20 03:35:31 AM,no_change,1953385,1953385,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (79).csv
2026-05-20 03:40:51 AM,no_change,1953385,1953385,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (80).csv
2026-05-20 03:46:11 AM,no_change,1953385,1953385,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (81).csv
2026-05-20 03:51:30 AM,no_change,1953385,1953385,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (82).csv
2026-05-20 03:56:50 AM,no_change,1953385,1953385,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (83).csv
2026-05-20 04:02:09 AM,no_change,1953385,1953385,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (84).csv
2026-05-20 04:07:29 AM,no_change,1953385,1953385,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (85).csv
2026-05-20 04:12:48 AM,no_change,1953385,1953385,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (86).csv
2026-05-20 04:18:08 AM,no_change,1953385,1953385,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (87).csv
2026-05-20 04:23:27 AM,no_change,1953385,1953385,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (88).csv
2026-05-20 04:28:47 AM,no_change,1953385,1953385,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (89).csv
2026-05-20 04:34:07 AM,no_change,1953385,1953385,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (90).csv
2026-05-20 04:39:26 AM,no_change,1953385,1953385,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (91).csv
2026-05-20 04:44:45 AM,no_change,1953385,1953385,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (92).csv
2026-05-20 04:50:04 AM,no_change,1953385,1953385,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (93).csv
2026-05-20 04:55:27 AM,no_change,1953385,1953385,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (94).csv
2026-05-20 05:00:46 AM,no_change,1953385,1953385,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (95).csv
2026-05-20 05:06:04 AM,no_change,1953385,1953385,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (96).csv
2026-05-20 05:11:24 AM,no_change,1953385,1953385,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (97).csv
2026-05-20 05:16:43 AM,no_change,1953385,1953385,0,0,0,0,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\downloads\Precincts_23 (98).csv
