contest_name,party,precincts,file
JUDGE OF THE COURT OF COMMON PLEAS (Dem),Dem,304,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\judge_of_the_court_of_common_pleas_dem.html
SHERIFF (Dem),Dem,304,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\sheriff_dem.html
PROTHONOTARY (Dem),Dem,304,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\prothonotary_dem.html
RECORDER OF DEEDS (Dem),Dem,304,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\recorder_of_deeds_dem.html
COUNTY CONTROLLER (Dem),Dem,304,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\county_controller_dem.html
JUDGE OF THE COMMONWEALTH COURT (Dem),Dem,304,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\judge_of_the_commonwealth_court_dem.html
JUDGE OF THE SUPERIOR COURT (Dem),Dem,304,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\judge_of_the_superior_court_dem.html
DISTRICT ATTORNEY (Dem),Dem,304,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\district_attorney_dem.html
BRISTOL TOWNSHIP SCHOOL DIRECTOR - 4 YEAR (Dem),Dem,29,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\bristol_township_school_director_4_year_dem.html
BRISTOL TOWNSHIP COUNCIL - 4 YEARS (Dem),Dem,29,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\bristol_township_council_4_years_dem.html
BENSALEM TOWNSHIP SCHOOL DIRECTOR - 4 YEAR (Dem),Dem,27,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\bensalem_township_school_director_4_year_dem.html
BENSALEM TOWNSHIP COUNCIL - 4 YEAR (Dem),Dem,27,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\bensalem_township_council_4_year_dem.html
BENSALEM TOWNSHIP TREASURER - 4 YEAR (Dem),Dem,27,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\bensalem_township_treasurer_4_year_dem.html
BENSALEM TOWNSHIP AUDITOR - 6 YEAR (Dem),Dem,27,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\bensalem_township_auditor_6_year_dem.html
BENSALEM TOWNSHIP MAYOR - 4 YEAR (Dem),Dem,27,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\bensalem_township_mayor_4_year_dem.html
MIDDLETOWN TOWNSHIP SUPERVISOR - 6 YEARS (Dem),Dem,22,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\middletown_township_supervisor_6_years_dem.html
MIDDLETOWN TOWNSHIP TAX COLLECTOR - 4 YEAR (Dem),Dem,22,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\middletown_township_tax_collector_4_year_dem.html
MIDDLETOWN TOWNSHIP AUDITOR - 6 YEARS (Dem),Dem,22,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\middletown_township_auditor_6_years_dem.html
MAGISTERIAL DISTRICT JUDGE 07-1-07 (Dem),Dem,21,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\magisterial_district_judge_07_1_07_dem.html
PENNRIDGE SCHOOL DIRECTOR - 4 YEAR (Dem),Dem,20,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\pennridge_school_director_4_year_dem.html
MAGISTERIAL DISTRICT JUDGE 07-1-11 (Dem),Dem,20,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\magisterial_district_judge_07_1_11_dem.html
NORTHAMPTON TOWNSHIP SUPERVISOR - 6 YEAR (Dem),Dem,18,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\northampton_township_supervisor_6_year_dem.html
NORTHAMPTON TOWNSHIP AUDITOR - 6 YEAR (Dem),Dem,18,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\northampton_township_auditor_6_year_dem.html
FALLS TOWNSHIP TAX COLLECTOR  - 4 YEAR (Dem),Dem,18,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\falls_township_tax_collector_4_year_dem.html
FALLS TOWNSHIP SUPERVISOR - 6 YEAR (Dem),Dem,18,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\falls_township_supervisor_6_year_dem.html
FALLS TOWNSHIP AUDITOR - 6 YEAR (Dem),Dem,18,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\falls_township_auditor_6_year_dem.html
NORTHAMPTON TOWNSHIP TAX COLLECTOR - 4 YEAR (Dem),Dem,18,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\northampton_township_tax_collector_4_year_dem.html
WARMINSTER TOWNSHIP SUPERVISOR - 6 YEAR (Dem),Dem,17,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\warminster_township_supervisor_6_year_dem.html
CENTRAL BUCKS SCHOOL DIRECTOR REGION 2 - 4 YEAR (Dem),Dem,17,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\central_bucks_school_director_region_2_4_year_dem.html
WARMINSTER TOWNSHIP TAX COLLECTOR - 4 YEAR (Dem),Dem,17,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\warminster_township_tax_collector_4_year_dem.html
WARMINSTER TOWNSHIP AUDITOR - 6 YEAR (Dem),Dem,17,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\warminster_township_auditor_6_year_dem.html
MAGISTERIAL DISTRICT JUDGE 07-1-02 (Dem),Dem,16,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\magisterial_district_judge_07_1_02_dem.html
LOWER MAKEFIELD TOWNSHIP SUPERVISOR - 6 YEAR (Dem),Dem,15,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\lower_makefield_township_supervisor_6_year_dem.html
LOWER MAKEFIELD TOWNSHIP TAX COLLECTOR - 4 YEAR (Dem),Dem,15,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\lower_makefield_township_tax_collector_4_year_dem.html
LOWER MAKEFIELD TOWNSHIP AUDITOR - 6 YEAR (Dem),Dem,15,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\lower_makefield_township_auditor_6_year_dem.html
NESHAMINY SCHOOL DIRECTOR REGION 3 - 4 YEAR (Dem),Dem,14,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\neshaminy_school_director_region_3_4_year_dem.html
MAGISTERIAL DISTRICT JUDGE 07-1-03 (Dem),Dem,14,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\magisterial_district_judge_07_1_03_dem.html
CENTRAL BUCKS SCHOOL DIRECTOR REGION 3 - 4 YEAR (Dem),Dem,13,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\central_bucks_school_director_region_3_4_year_dem.html
PENNSBURY SCHOOL DIRECTOR REGION 3 - 4 YEAR (Dem),Dem,13,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\pennsbury_school_director_region_3_4_year_dem.html
MAGISTERIAL DISTRICT JUDGE 07-3-01- D (Dem),Dem,13,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\magisterial_district_judge_07_3_01_d_dem.html
CENTRAL BUCKS SCHOOL DIRECTOR REGION 3 - 2 YEAR (Dem),Dem,13,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\central_bucks_school_director_region_3_2_year_dem.html
NESHAMINY SCHOOL DIRECTOR REGION 1 - 4 YEAR (Dem),Dem,13,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\neshaminy_school_director_region_1_4_year_dem.html
LOWER SOUTHAMPTON TOWNSHIP SUPERVISOR - 6 YEAR (Dem),Dem,12,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\lower_southampton_township_supervisor_6_year_dem.html
PENNSBURY SCHOOL DIRECTOR REGION 2 -  2 YEAR (Dem),Dem,12,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\pennsbury_school_director_region_2_2_year_dem.html
LOWER SOUTHAMPTON TOWNSHIP AUDITOR - 6 YEAR (Dem),Dem,12,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\lower_southampton_township_auditor_6_year_dem.html
LOWER SOUTHAMPTON TOWNSHIP TAX COLLECTOR - 4 YEAR (Dem),Dem,12,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\lower_southampton_township_tax_collector_4_year_dem.html
NESHAMINY SCHOOL DIRECTOR REGION 2 - 4 YEAR (Dem),Dem,11,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\neshaminy_school_director_region_2_4_year_dem.html
PENNSBURY SCHOOL DIRECTOR REGION 1 - 4 YEAR (Dem),Dem,10,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\pennsbury_school_director_region_1_4_year_dem.html
BRISTOL BOROUGH SCHOOL DIRECTOR - 4 YEAR (Dem),Dem,10,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\bristol_borough_school_director_4_year_dem.html
CENTENNIAL SCHOOL DIRECTOR REGION 2 - 4 YEAR (Dem),Dem,10,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\centennial_school_director_region_2_4_year_dem.html
BRISTOL BOROUGH MAYOR - 4 YEAR (Dem),Dem,10,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\bristol_borough_mayor_4_year_dem.html
BRISTOL BOROUGH TAX COLLECTOR - 4 YEAR (Dem),Dem,10,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\bristol_borough_tax_collector_4_year_dem.html
CENTENNIAL SCHOOL DIRECTOR REGION 1 - 4 YEAR (Dem),Dem,10,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\centennial_school_director_region_1_4_year_dem.html
UPPER SOUTHAMPTON TWP SUPERVISOR - 6 YEAR (Dem),Dem,10,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\upper_southampton_twp_supervisor_6_year_dem.html
UPPER SOUTHAMPTON TWP TAX COLLECTOR - 4 YEAR (Dem),Dem,10,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\upper_southampton_twp_tax_collector_4_year_dem.html
UPPER SOUTHAMPTON TWP AUDITOR - 6 YEAR (Dem),Dem,10,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_dem\upper_southampton_twp_auditor_6_year_dem.html
JUDGE OF THE COURT OF COMMON PLEAS (Rep),Rep,304,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\judge_of_the_court_of_common_pleas_rep.html
JUDGE OF THE SUPERIOR COURT (Rep),Rep,304,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\judge_of_the_superior_court_rep.html
SHERIFF (Rep),Rep,304,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\sheriff_rep.html
JUDGE OF THE COMMONWEALTH COURT (Rep),Rep,304,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\judge_of_the_commonwealth_court_rep.html
RECORDER OF DEEDS (Rep),Rep,304,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\recorder_of_deeds_rep.html
PROTHONOTARY (Rep),Rep,304,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\prothonotary_rep.html
COUNTY CONTROLLER (Rep),Rep,304,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\county_controller_rep.html
DISTRICT ATTORNEY (Rep),Rep,304,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\district_attorney_rep.html
BRISTOL TOWNSHIP SCHOOL DIRECTOR - 4 YEAR (Rep),Rep,29,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\bristol_township_school_director_4_year_rep.html
BRISTOL TOWNSHIP COUNCIL - 4 YEAR (Rep),Rep,29,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\bristol_township_council_4_year_rep.html
BENSALEM TOWNSHIP SCHOOL DIRECTOR - 4 YEAR (Rep),Rep,27,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\bensalem_township_school_director_4_year_rep.html
BENSALEM TOWNSHIP COUNCIL - 4 YEAR (Rep),Rep,27,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\bensalem_township_council_4_year_rep.html
BENSALEM TOWNSHIP TREASURER - 4 YEAR (Rep),Rep,27,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\bensalem_township_treasurer_4_year_rep.html
BENSALEM TOWNSHIP MAYOR - 4 YEAR (Rep),Rep,27,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\bensalem_township_mayor_4_year_rep.html
BENSALEM TOWNSHIP AUDITOR - 6 YEAR (Rep),Rep,27,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\bensalem_township_auditor_6_year_rep.html
MIDDLETOWN TOWNSHIP SUPERVISOR - 6 YEARS (Rep),Rep,22,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\middletown_township_supervisor_6_years_rep.html
MIDDLETOWN TOWNSHIP TAX COLLECTOR - 4 YEAR (Rep),Rep,22,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\middletown_township_tax_collector_4_year_rep.html
MIDDLETOWN TOWNSHIP AUDITOR - 6 YEARS (Rep),Rep,22,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\middletown_township_auditor_6_years_rep.html
MAGISTERIAL DISTRICT JUDGE 07-1-07- R (Rep),Rep,21,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\magisterial_district_judge_07_1_07_r_rep.html
PENNRIDGE SCHOOL DIRECTOR - 4 YEAR (Rep),Rep,20,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\pennridge_school_director_4_year_rep.html
MAGISTERIAL DISTRICT JUDGE 07-1-11 (Rep),Rep,20,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\magisterial_district_judge_07_1_11_rep.html
NORTHAMPTON TOWNSHIP SUPERVISOR - 6 YEAR (Rep),Rep,18,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\northampton_township_supervisor_6_year_rep.html
NORTHAMPTON TOWNSHIP TAX COLLECTOR - 4 YEAR (Rep),Rep,18,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\northampton_township_tax_collector_4_year_rep.html
NORTHAMPTON TOWNSHIP AUDITOR - 6 YEAR (Rep),Rep,18,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\northampton_township_auditor_6_year_rep.html
FALLS TOWNSHIP SUPERVISOR - 6 YEAR (Rep),Rep,18,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\falls_township_supervisor_6_year_rep.html
FALLS TOWNSHIP AUDITOR - 6 YEAR (Rep),Rep,18,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\falls_township_auditor_6_year_rep.html
FALLS TOWNSHIP TAX COLLECTOR - 4 YEAR (Rep),Rep,18,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\falls_township_tax_collector_4_year_rep.html
WARMINSTER TOWNSHIP SUPERVISOR - 6 YEAR (Rep),Rep,17,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\warminster_township_supervisor_6_year_rep.html
CENTRAL BUCKS SCHOOL DIRECTOR REGION 2 - 4 YEAR (Rep),Rep,17,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\central_bucks_school_director_region_2_4_year_rep.html
WARMINSTER TOWNSHIP TAX COLLECTOR - 4 YEAR (Rep),Rep,17,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\warminster_township_tax_collector_4_year_rep.html
WARMINSTER TOWNSHIP AUDITOR - 6 YEAR (Rep),Rep,17,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\warminster_township_auditor_6_year_rep.html
MAGISTERIAL DISTRICT JUDGE 07-1-02 (Rep),Rep,16,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\magisterial_district_judge_07_1_02_rep.html
LOWER MAKEFIELD TOWNSHIP SUPERVISOR - 6 YEAR (Rep),Rep,15,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\lower_makefield_township_supervisor_6_year_rep.html
LOWER MAKEFIELD TOWNSHIP TAX COLLECTOR - 4 YEAR (Rep),Rep,15,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\lower_makefield_township_tax_collector_4_year_rep.html
LOWER MAKEFIELD TOWNSHIP AUDITOR - 6 YEAR (Rep),Rep,15,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\lower_makefield_township_auditor_6_year_rep.html
NESHAMINY SCHOOL DIRECTOR REGION 3 - 4 YEAR (Rep),Rep,14,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\neshaminy_school_director_region_3_4_year_rep.html
MAGISTERIAL DISTRICT JUDGE 07-1-03 (Rep),Rep,14,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\magisterial_district_judge_07_1_03_rep.html
CENTRAL BUCKS SCHOOL DIRECTOR REGION 3 - 4 YEAR (Rep),Rep,13,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\central_bucks_school_director_region_3_4_year_rep.html
CENTRAL BUCKS SCHOOL DIRECTOR REGION 3 -  2 YEAR  (Rep),Rep,13,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\central_bucks_school_director_region_3_2_year_rep.html
MAGISTERIAL DISTRICT JUDGE 07-3-01- R (Rep),Rep,13,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\magisterial_district_judge_07_3_01_r_rep.html
PENNSBURY SCHOOL DIRECTOR REGION 3 - 4 YEARS -R (Rep),Rep,13,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\pennsbury_school_director_region_3_4_years_r_rep.html
NESHAMINY SCHOOL DIRECTOR REGION 1 - 4 YEAR  (Rep),Rep,13,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\neshaminy_school_director_region_1_4_year_rep.html
LOWER SOUTHAMPTON TOWNSHIP SUPERVISOR - 6 YEAR (Rep),Rep,12,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\lower_southampton_township_supervisor_6_year_rep.html
LOWER SOUTHAMPTON TOWNSHIP TAX COLLECTOR - 4 YEAR (Rep),Rep,12,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\lower_southampton_township_tax_collector_4_year_rep.html
LOWER SOUTHAMPTON TOWNSHIP AUDITOR - 6 YEAR (Rep),Rep,12,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\lower_southampton_township_auditor_6_year_rep.html
 PENNSBURY SCHOOL DIRECTOR REGION 2 - 2 YEAR  (Rep),Rep,12,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\pennsbury_school_director_region_2_2_year_rep.html
NESHAMINY SCHOOL DIRECTOR REGION 2 - 4 YEAR (Rep),Rep,11,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\neshaminy_school_director_region_2_4_year_rep.html
PENNSBURY SCHOOL DIRECTOR REGION 1 - 4 YEAR (Rep),Rep,10,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\pennsbury_school_director_region_1_4_year_rep.html
UPPER SOUTHAMPTON TWP SUPERVISOR - 6 YEAR (Rep),Rep,10,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\upper_southampton_twp_supervisor_6_year_rep.html
CENTENNIAL SCHOOL DIRECTOR REGION 2 - 4 YEAR (Rep),Rep,10,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\centennial_school_director_region_2_4_year_rep.html
BRISTOL BOROUGH SCHOOL DIRECTOR - 4 YEAR (Rep),Rep,10,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\bristol_borough_school_director_4_year_rep.html
CENTENNIAL SCHOOL DIRECTOR REGION 1 - 4 YEAR (Rep),Rep,10,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\centennial_school_director_region_1_4_year_rep.html
UPPER SOUTHAMPTON TWP TAX COLLECTOR - 4 YEAR (Rep),Rep,10,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\upper_southampton_twp_tax_collector_4_year_rep.html
UPPER SOUTHAMPTON TWP AUDITOR - 6 YEAR (Rep),Rep,10,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\upper_southampton_twp_auditor_6_year_rep.html
BRISTOL BOROUGH MAYOR - 4 YEAR (Rep),Rep,10,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\bristol_borough_mayor_4_year_rep.html
BRISTOL BOROUGH TAX COLLECTOR - 4 YEAR (Rep),Rep,10,C:\Users\Chris Ullery\PycharmProjects\BucksMidterm2026PrimMaps\output\maps_rep\bristol_borough_tax_collector_4_year_rep.html
